series,timestamp_ms,value
stromverbrauch_total_load,1711922400000,37730955.5
stromverbrauch_total_load,1714514400000,35983512.75
stromverbrauch_total_load,1717192800000,35704641.25
stromverbrauch_total_load,1719784800000,36973712.75
stromverbrauch_total_load,1722463200000,36921844.0
stromverbrauch_total_load,1725141600000,36646160.5
stromverbrauch_total_load,1727733600000,38537384.0
stromverbrauch_total_load,1730415600000,41376520.0
stromverbrauch_total_load,1733007600000,41383116.0
stromverbrauch_total_load,1735686000000,44170689.75
stromverbrauch_total_load,1738364400000,40067317.13
stromverbrauch_total_load,1740783600000,40563594.7
stromverbrauch_total_load,1743458400000,36341729.36
stromverbrauch_total_load,1746050400000,36264727.79
stromverbrauch_total_load,1748728800000,35278341.56
stromverbrauch_total_load,1751320800000,37035779.36
stromverbrauch_total_load,1753999200000,35373436.26
stromverbrauch_total_load,1756677600000,36471748.88
stromverbrauch_total_load,1759269600000,40475526.35
stromverbrauch_total_load,1761951600000,41470312.3
stromverbrauch_total_load,1764543600000,42304479.73
marktpreis_de_lu_eur_mwh,1704063600000,76.57
marktpreis_de_lu_eur_mwh,1706742000000,61.34
marktpreis_de_lu_eur_mwh,1709247600000,64.7
marktpreis_de_lu_eur_mwh,1711922400000,62.36
marktpreis_de_lu_eur_mwh,1714514400000,67.21
marktpreis_de_lu_eur_mwh,1717192800000,72.89
marktpreis_de_lu_eur_mwh,1719784800000,67.7
marktpreis_de_lu_eur_mwh,1722463200000,82.05
marktpreis_de_lu_eur_mwh,1725141600000,78.31
marktpreis_de_lu_eur_mwh,1727733600000,86.1
marktpreis_de_lu_eur_mwh,1730415600000,113.91
marktpreis_de_lu_eur_mwh,1733007600000,108.32
marktpreis_de_lu_eur_mwh,1735686000000,114.14
marktpreis_de_lu_eur_mwh,1738364400000,128.52
marktpreis_de_lu_eur_mwh,1740783600000,94.73
marktpreis_de_lu_eur_mwh,1743458400000,77.94
marktpreis_de_lu_eur_mwh,1746050400000,67.34
marktpreis_de_lu_eur_mwh,1748728800000,63.99
marktpreis_de_lu_eur_mwh,1751320800000,87.8
marktpreis_de_lu_eur_mwh,1753999200000,76.99
marktpreis_de_lu_eur_mwh,1756677600000,83.51
marktpreis_de_lu_eur_mwh,1759269600000,84.4
marktpreis_de_lu_eur_mwh,1761951600000,101.88
marktpreis_de_lu_eur_mwh,1764543600000,93.47
